time,altitude,apoapsis,periapsis,speed,pitch,throttle,mass,dynamic_pressure
6.65,91.66,93.48,-598433.52,5.9,89.41049194335938,1.0,367684.47,20.28
7.25,95.73,98.85,-598432.51,7.8,89.42391967773438,1.0,366809.16,33.77
7.77,100.28,105.04,-598431.61,9.64,89.43942260742188,1.0,365933.84,51.59
8.29,105.57,112.25,-598430.76,11.43,89.45498657226562,1.0,365092.16,72.45
8.79,111.75,120.71,-598429.93,13.23,89.47064208984375,1.0,364250.47,97.04
9.29,119.14,130.85,-598429.08,15.12,89.48489379882812,1.0,363375.16,126.66
9.81,127.51,142.37,-598428.23,17.03,89.49874877929688,1.0,362499.81,160.48
10.33,136.51,154.77,-598427.43,18.88,89.51220703125,1.0,361624.47,198.59
10.85,147.26,169.63,-598426.58,20.9,89.52276611328125,1.0,360749.12,241.06
11.37,158.65,185.42,-598425.77,22.86,89.53353881835938,1.0,359873.78,287.98
11.89,171.07,202.66,-598424.97,24.84,89.5445556640625,1.0,358998.47,339.43
12.41,183.98,220.64,-598424.2,26.75,89.55368041992188,1.0,358156.78,393.22
12.91,198.43,240.81,-598423.42,28.76,89.56344604492188,1.0,357281.44,453.75
13.43,213.93,262.5,-598422.63,30.79,89.56930541992188,1.0,356406.09,519.01
13.95,230.49,285.74,-598421.85,32.84,89.576171875,1.0,355530.75,589.08
14.47,247.42,309.55,-598421.11,34.82,89.5836181640625,1.0,354689.09,661.03
14.97,266.08,335.86,-598420.33,36.9,89.59170532226562,1.0,353813.75,740.69
15.49,285.83,363.78,-598419.59,39.0,89.59698486328125,1.0,352938.44,825.32
16.01,306.67,393.32,-598418.83,41.12,89.60140991210938,1.0,352063.06,914.98
16.53,328.62,424.51,-598418.08,43.25,89.60189819335938,1.0,351187.75,1009.71
17.05,350.77,456.08,-598417.33,45.32,89.60189819335938,1.0,350346.06,1105.64
17.55,374.92,490.56,-598416.55,47.49,89.60140991210938,1.0,349470.75,1210.47
18.07,399.2,525.33,-598415.78,49.59,89.59893798828125,1.0,348629.06,1316.16
18.57,425.58,563.19,-598414.95,51.8,89.59698486328125,1.0,347753.72,1431.22
19.09,452.03,601.25,-598414.16,53.94,89.59072875976562,1.0,346912.09,1546.82
19.59,480.67,642.58,-598413.29,56.18,89.58740234375,1.0,346036.72,1672.22
20.11,510.48,685.71,-598412.41,58.44,89.58221435546875,1.0,345161.41,1802.92
20.63,540.27,728.91,-598411.54,60.63,89.57708740234375,1.0,344319.72,1933.61
21.13,572.41,775.65,-598410.63,62.93,89.5675048828125,1.0,343444.38,2074.75
21.65,604.44,822.35,-598409.7,65.15,89.55810546875,1.0,342602.72,2215.5
22.15,637.59,870.81,-598408.75,67.4,89.55020141601562,1.0,341761.03,2361.18
22.65,673.27,923.09,-598407.74,69.75,89.54071044921875,1.0,340885.72,2517.91
23.17,710.17,977.32,-598406.71,72.12,89.53060913085938,1.0,340010.38,2679.96
23.69,746.82,1031.33,-598405.68,74.42,89.52069091796875,1.0,339168.69,2840.78
24.19,786.16,1089.45,-598404.6,76.83,89.50189208984375,1.0,338293.38,3013.21
24.71,826.76,1149.59,-598403.45,79.26,89.47808837890625,1.0,337418.03,3190.9
25.23,867.0,1209.35,-598402.27,81.62,89.4471435546875,1.0,336576.34,3366.69
25.73,910.1,1273.54,-598400.97,84.09,89.41314697265625,1.0,335701.0,3554.61
26.25,954.48,1339.83,-598399.58,86.57,89.37161254882812,1.0,334825.69,3747.68
26.77,998.39,1405.59,-598398.15,88.99,89.31903076171875,1.0,333984.0,3938.15
27.27,1043.51,1473.33,-598396.55,91.42,89.25875854492188,1.0,333142.34,4133.31
27.77,1091.72,1545.93,-598394.73,93.97,89.19570922851562,1.0,332267.0,4341.18
28.29,1139.33,1617.83,-598392.8,96.43,89.12957763671875,1.0,331425.31,4545.71
28.81,1190.17,1694.8,-598390.65,99.02,89.05996704101562,1.0,330549.97,4763.21
29.31,1240.32,1770.95,-598388.4,101.53,88.97952270507812,1.0,329708.31,4976.87
29.81,1293.82,1852.41,-598385.8,104.16,88.90386962890625,1.0,328833.0,5203.72
30.33,1348.68,1936.2,-598383.02,106.81,88.8289794921875,1.0,327957.62,5435.18
30.85,1402.74,2018.98,-598380.22,109.38,88.75369262695312,1.0,327115.97,5661.91
31.35,1458.09,2103.96,-598377.22,111.97,88.65301513671875,1.0,326274.31,5892.65
31.85,1517.03,2194.7,-598373.66,114.68,88.56195068359375,1.0,325398.97,6136.74
32.37,1577.38,2287.88,-598370.08,117.41,88.46966552734375,1.0,324523.66,6384.94
32.89,1636.75,2379.81,-598366.28,120.06,88.36590576171875,1.0,323681.97,6627.32
33.39,1699.91,2477.85,-598361.99,122.83,88.2655029296875,1.0,322806.62,6883.11
33.91,1764.51,2578.43,-598357.52,125.62,88.1729736328125,1.0,321931.28,7142.62
34.43,1828.0,2677.57,-598352.98,128.33,88.07440185546875,1.0,321089.62,7395.55
34.93,1895.47,2783.21,-598347.99,131.16,87.9632568359375,1.0,320214.28,7661.94
35.45,1964.41,2891.47,-598342.64,134.02,87.84622192382812,1.0,319338.94,7931.5
35.97,2032.11,2998.07,-598337.13,136.79,87.74050903320312,1.0,318497.28,8193.56
36.47,2101.19,3107.16,-598331.45,139.57,87.6187744140625,1.0,317621.94,8468.94
36.99,2177.36,3227.79,-598324.79,142.61,87.49688720703125,1.0,316746.59,8746.96
